accession	reference_length	covered_bases	reads_mapped	avg_coverage	Sample_ID	PoolID
KY077642.1	2057	107	2	0.08495019	HCWZBL	p1835
KX988277.1	2580	77	2	0.060493827	HCWZBL	p1835
KX988279.1	1356	140	1	0.08126037	HCWZBL	p1835
KX988283.1	1070	138	18	0.25652173	HCWZBL	p1835
KX988280.1	1037	417	8	8.626832	HCWZBL	p1835
KX988284.1	750	334	9	0.76	HCWZBL	p1835
DQ146672.1	2753	2468	3052	156.51096	HCWZBL	p1835
DQ146673.1	2591	1165	74	3.6599755	HCWZBL	p1835
KJ659443.1	2683	258	4	0.3099092	HCWZBL	p1835
LC095937.1	2550	141	5	0.69958335	HCWZBL	p1835
FJ423147.1	2717	1566	442	20.209194	HCWZBL	p1835
FJ423156.1	2540	125	3	0.052301254	HCWZBL	p1835
EU979379.1	2359	684	48	4.0792212	HCWZBL	p1835
JN104611.1	3302	325	7	0.65291876	HCWZBL	p1835
JN104612.1	2717	215	1	0.06310869	HCWZBL	p1835
JN104617.1	1076	250	18	0.4838013	HCWZBL	p1835
JN104616.1	1059	177	244	22.79428	HCWZBL	p1835
JN104618.1	750	180	21	2.7683334	HCWZBL	p1835
D38055.1	1061	104	15	1.0965972	HCWZBL	p1835
U54773.1	1182	723	82	5.117248	HCWZBL	p1835
KM026620.1	954	214	9	2.3383086	HCWZBL	p1835
KM027104.1	831	718	1958	265.32013	HCWZBL	p1835
MF161804.1	634	539	1555	419.02893	HCWZBL	p1835
KJ820836.1	3269	233	2	0.22411029	HCWZBL	p1835
KJ820840.1	1319	365	18	0.9409752	HCWZBL	p1835
KF371681.1	1356	388	3	0.88971806	HCWZBL	p1835
KF371682.1	1062	1059	16930	2447.4736	HCWZBL	p1835
JQ863315.1	1529	605	36	3.519942	HCWZBL	p1835
JQ863317.1	1066	577	30	4.689956	HCWZBL	p1835
JQ863316.1	1059	310	17	2.5467546	HCWZBL	p1835
AB938301.1	751	398	18	2.5274541	HCWZBL	p1835
KC580629.1	1519	477	16	1.0642805	HCWZBL	p1835
KT695085.1	2359	1988	6416	359.4735	HCWZBL	p1835
KT695089.1	1059	148	2	0.08030803	HCWZBL	p1835
KC580005.1	3271	54	1	0.0506248	HCWZBL	p1835
KC580008.1	2333	1480	337	29.118645	HCWZBL	p1835
KC580001.1	1000	119	2	0.02	HCWZBL	p1835
KU356671.1	751	474	204	27.580698	HCWZBL	p1835
KU356614.1	1059	1059	51320	7977.901	HCWZBL	p1835
KU356605.1	751	637	54564	11134.569	HCWZBL	p1835
JN258402.1	1014	208	2	0.8564815	HCWZBL	p1835
HM773795.1	1023	401	22	4.358534	HCWZBL	p1835
KX632263.1	751	116	1	0.003327787	HCWZBL	p1835
KY865344.1	3309	2192	1106	41.75182	HCWZBL	p1835
KY865346.1	2166	172	6	0.2013889	HCWZBL	p1835
KY865350.1	1270	856	184	17.985714	HCWZBL	p1835
KY865349.1	1063	1032	1244	185.90033	HCWZBL	p1835
KY865351.1	1037	932	2388	336.21872	HCWZBL	p1835
KY865353.1	613	539	413	129.62419	HCWZBL	p1835
KT206197.1	2736	2735	14041	756.37897	HCWZBL	p1835
KX655509.1	2361	629	78	6.921303	HCWZBL	p1835
KX655511.1	1062	94	18	1.6052631	HCWZBL	p1835
KP988014.1	2646	151	3	0.18149039	HCWZBL	p1835
KP988016.1	2208	282	15	0.93488824	HCWZBL	p1835
KP988015.1	2082	65	2	0.086438924	HCWZBL	p1835
KP988021.1	1209	101	1	0.041548632	HCWZBL	p1835
KP988019.1	1182	170	14	1.2664728	HCWZBL	p1835
KP988018.1	1014	286	11	1.2627314	HCWZBL	p1835
FJ947522.1	1043	74	6	0.0022396417	HCWZBL	p1835
KJ752620.1	2530	1580	796	43.080673	HCWZBL	p1835
KJ752614.1	1003	204	34	8.321219	HCWZBL	p1835
KJ879453.1	981	115	2	0.19735259	HCWZBL	p1835
KJ879458.1	606	230	180	51.71272	HCWZBL	p1835
KM369892.2	3518	2632	314	12.516627	HCWZBL	p1835
KM369893.2	3002	1110	71	3.432679	HCWZBL	p1835
KM369894.2	2161	242	10	0.5484833	HCWZBL	p1835
KM369895.2	2371	1961	224	13.5925255	HCWZBL	p1835
KM369896.2	1278	746	68	8.297873	HCWZBL	p1835
KM369888.2	1018	417	39	5.4447002	HCWZBL	p1835
KM369897.2	858	316	13	2.1384182	HCWZBL	p1835
KM369891.2	593	194	4	0.9548533	HCWZBL	p1835
KT878996.1	1943	142	4	0.2119353	HCWZBL	p1835
LC326508.1	1356	143	16	2.4079602	HCWZBL	p1835
LC328188.1	3302	433	5	0.3448604	HCWZBL	p1835
LC328190.1	2697	388	231	9.738909	HCWZBL	p1835
LC328194.1	1578	967	119	8.501401	HCWZBL	p1835
LC328186.1	1356	193	2	0.513267	HCWZBL	p1835
LC328182.1	1062	751	415	45.61842	HCWZBL	p1835
MG181384.1	2359	1658	970	57.674515	HCWZBL	p1835
MG181387.1	1567	877	607	49.806633	HCWZBL	p1835
MG181720.1	750	545	977	127.458336	HCWZBL	p1835
KU597749.1	1020	205	4	0.6068966	HCWZBL	p1835
KU597746.1	1356	101	2	0.08291874	HCWZBL	p1835
KU597752.1	1069	160	22	0.21762785	HCWZBL	p1835
KU597751.1	1059	132	4	0.11551155	HCWZBL	p1835
MG181780.1	2359	373	15	2.124038	HCWZBL	p1835
MG181830.1	751	197	66	9.011647	HCWZBL	p1835
LC328233.1	2697	1511	427	22.675697	HCWZBL	p1835
LC328215.1	2359	2284	11102	700.3323	HCWZBL	p1835
KX880441.1	2542	141	1	0.06688963	HCWZBL	p1835
LC328228.1	2676	2546	667	35.68844	HCWZBL	p1835
KJ412570.1	1531	127	1	0.091962345	HCWZBL	p1835
KJ412794.1	1016	267	536	81.408775	HCWZBL	p1835
KJ870889.1	3302	1989	5574	219.38673	HCWZBL	p1835
LC061619.1	2639	147	3	0.15226999	HCWZBL	p1835
LC061621.1	2484	190	3	0.10711225	HCWZBL	p1835
LC061625.1	1047	234	3	0.2006689	HCWZBL	p1835
LC061631.1	951	110	5	0.21972534	HCWZBL	p1835
JN129109.1	1194	76	1	0.07279693	HCWZBL	p1835
JN128997.1	954	137	115	6.108209	HCWZBL	p1835
KJ752097.1	2530	66	2	0.18319328	HCWZBL	p1835
KJ751729.1	1023	583	672	102.34479	HCWZBL	p1835
KJ753392.1	2530	2251	20165	1142.6029	HCWZBL	p1835
KJ748466.1	2690	196	9	0.17598425	HCWZBL	p1835
KJ748467.1	2591	83	8	0.07824662	HCWZBL	p1835
LC169841.1	3302	715	37	2.2471447	HCWZBL	p1835
LC208010.1	1320	112	2	0.50940174	HCWZBL	p1835
KJ639017.1	1062	1061	61615	9389.331	HCWZBL	p1835
KU962129.1	2643	1611	213	11.183715	HCWZBL	p1835
KU962132.1	1194	203	10	2.1226053	HCWZBL	p1835
KC686984.1	1914	1315	518	37.871315	HCWZBL	p1835
KC687007.1	1367	1118	2993	348.82663	HCWZBL	p1835
KU128892.1	3284	922	51	2.424697	HCWZBL	p1835
KU128893.1	2687	195	4	0.17540403	HCWZBL	p1835
KP882187.1	2316	1273	32771	1975.2867	HCWZBL	p1835
KC175183.1	2591	58	1	0.0032773453	HCWZBL	p1835
KC175185.1	1343	1311	21651	2517.383	HCWZBL	p1835
AB924106.1	3302	536	6	0.51300764	HCWZBL	p1835
AB924107.1	2717	173	2	0.11102454	HCWZBL	p1835
AB924113.1	1059	92	1	0.01870187	HCWZBL	p1835
AB924111.1	1060	200	1	0.1967033	HCWZBL	p1835
AB924115.1	750	297	11	1.2216667	HCWZBL	p1835
AB924116.1	945	406	24	3.7408805	HCWZBL	p1835
GU189551.1	3302	117	2	0.040609136	HCWZBL	p1835
GU189557.1	1076	141	7	0.058315333	HCWZBL	p1835
GU189558.1	750	333	33	5.1383333	HCWZBL	p1835
JF796702.1	2716	110	1	0.05339049	HCWZBL	p1835
JF796704.1	2362	79	1	0.047016274	HCWZBL	p1835
JF796706.1	1061	71	3	0	HCWZBL	p1835
JF796699.1	750	231	197	27.216667	HCWZBL	p1835
KC855061.1	1344	97	1	0.072026804	HCWZBL	p1835
KJ482275.1	996	155	9	0.24468085	HCWZBL	p1835
KJ482384.1	1569	206	2	0.10147992	HCWZBL	p1835
KJ482276.1	996	111	1	0.08037825	HCWZBL	p1835
KJ482385.1	1569	111	1	0.049330514	HCWZBL	p1835
KJ482441.1	1077	114	1	0.100323625	HCWZBL	p1835
KJ482388.1	1569	68	3	0.13248767	HCWZBL	p1835
KJ482444.1	1077	90	1	0.097087376	HCWZBL	p1835
KJ482521.1	846	99	2	0.2744253	HCWZBL	p1835
KJ482336.1	630	300	264	36.333332	HCWZBL	p1835
KR705232.1	419	88	4	0.9219331	HCWZBL	p1835
KU886317.1	1355	400	9	2.1568465	HCWZBL	p1835
KU886309.1	1040	110	4	0.113483146	HCWZBL	p1835
KU363140.1	1076	298	29	1.9427645	HCWZBL	p1835
KU363150.1	1062	68	4	0.15789473	HCWZBL	p1835
HQ392411.1	1010	131	5	0.4627907	HCWZBL	p1835
KR705146.1	3264	583	120	6.2035966	HCWZBL	p1835
KX265690.1	3267	595	44	0.89220405	HCWZBL	p1835
KX265694.1	1194	379	20	4.827586	HCWZBL	p1835
KF690127.1	2591	2337	502	28.266693	HCWZBL	p1835
KF690128.1	2361	55	2	0.048846677	HCWZBL	p1835
KF690129.1	1356	1076	9508	1076.6981	HCWZBL	p1835
KF690133.1	1074	662	41	6.664502	HCWZBL	p1835
KF690134.1	750	236	128	11.573334	HCWZBL	p1835
GU384192.1	3303	854	139	6.35712	HCWZBL	p1835
GU384191.1	2687	221	1	0.2751281	HCWZBL	p1835
GU384193.1	2591	871	55	2.9737813	HCWZBL	p1835
GU384195.1	1581	216	5	0.4605171	HCWZBL	p1835
GU384197.1	1071	104	3	0.010857764	HCWZBL	p1835
GU384196.1	1059	995	439	53.09571	HCWZBL	p1835
GU144587.1	1062	492	25	3.8585527	HCWZBL	p1835
EF554126.1	3302	591	161	5.8880076	HCWZBL	p1835
EF554127.1	2687	333	6	0.5526212	HCWZBL	p1835
EF554133.1	1059	130	1	0.17161717	HCWZBL	p1835
EF554135.1	751	220	21	2.4326124	HCWZBL	p1835
GU188282.1	750	149	2	0.16166666	HCWZBL	p1835
FJ347122.1	3302	275	1	0.50412434	HCWZBL	p1835
FJ347123.1	2687	65	1	0	HCWZBL	p1835
FJ347124.1	2591	990	80	4.147071	HCWZBL	p1835
FJ347126.1	1356	1346	23173	2276.0432	HCWZBL	p1835
FJ347130.1	1078	134	10	0.080818966	HCWZBL	p1835
FJ347131.1	751	319	31	3.074875	HCWZBL	p1835
FJ347132.1	667	222	4	0.91682786	HCWZBL	p1835
FJ347104.1	1356	1178	39005	4228.36	HCWZBL	p1835
FJ347107.1	1059	319	2	0.26842684	HCWZBL	p1835
JN831222.1	2591	504	34	2.1331422	HCWZBL	p1835
JN831216.1	1059	377	50	5.061606	HCWZBL	p1835
JN831225.1	1062	76	3	0.0021929825	HCWZBL	p1835
KX212876.1	3302	719	65	2.8502538	HCWZBL	p1835
KX212872.1	2591	198	48	1.5182302	HCWZBL	p1835
KX212866.1	1062	71	3	0	HCWZBL	p1835
AB853891.1	2687	449	8	0.2751281	HCWZBL	p1835
AB853893.1	2361	1301	107	6.435097	HCWZBL	p1835
AB853895.1	1063	79	3	0.106243156	HCWZBL	p1835
KR086408.1	2696	60	2	0.04477612	HCWZBL	p1835
JF693037.1	3267	444	14	0.97240937	HCWZBL	p1835
JF693039.1	2508	170	5	0.17684479	HCWZBL	p1835
JF693042.1	1194	1036	15045	1909.3314	HCWZBL	p1835
KC815687.1	1045	272	3	0.18100558	HCWZBL	p1835
AB874616.1	2709	63	1	0.024618993	HCWZBL	p1835
AB874658.1	1350	73	1	0.011666667	HCWZBL	p1835
AB874670.1	719	60	1	0.0017574693	HCWZBL	p1835
KC178764.1	3302	680	341	10.060596	HCWZBL	p1835
KC178774.1	2687	2430	13149	699.2657	HCWZBL	p1835
KC178782.1	2591	741	543	5.608767	HCWZBL	p1835
KC178720.1	1556	1031	70	5.870555	HCWZBL	p1835
KC178799.1	1356	483	401	32.353233	HCWZBL	p1835
KY426809.1	3302	545	43	1.7166878	HCWZBL	p1835
KY426810.1	2687	276	7	0.21403232	HCWZBL	p1835
KY426813.1	1355	553	21	5.839834	HCWZBL	p1835
KY426805.1	1074	72	2	0	HCWZBL	p1835
LC002004.1	1352	1290	1805	189.88187	HCWZBL	p1835
GU565079.1	1062	970	391	55.169956	HCWZBL	p1835
AB971761.1	2622	131	1	0.06553398	HCWZBL	p1835
AB971765.1	981	60	1	0.27677497	HCWZBL	p1835
KX988264.1	2014	157	2	0.04506438	HCWZBL	p1835
KX988265.1	2717	184	4	0.18348266	HCWZBL	p1835
FJ422133.1	2591	167	7	0.1093814	HCWZBL	p1835
EF554148.1	3302	355	25	0.7858502	HCWZBL	p1835
EF554149.1	2687	138	27	0.25778478	HCWZBL	p1835
EF554150.1	2592	664	221	8.802212	HCWZBL	p1835
KJ450846.1	1566	168	1	0.049435027	HCWZBL	p1835
KJ450848.1	1075	189	6	0.15027027	HCWZBL	p1835
JF304915.1	3302	405	5	0.15767767	HCWZBL	p1835
JF304917.1	2591	149	8	0.1003687	HCWZBL	p1835
JF304924.1	751	292	9	1.1946756	HCWZBL	p1835
JF304925.1	822	602	738	110.465775	HCWZBL	p1835
LC055547.1	3302	2433	2090	82.105644	HCWZBL	p1835
LC055551.1	1356	1355	12171	1436.2496	HCWZBL	p1835
LC055552.1	1060	73	2	0	HCWZBL	p1835
LC055556.1	751	336	32	3.5507488	HCWZBL	p1835
LC095946.1	3249	908	18	1.5140368	HCWZBL	p1835
LC095948.1	2550	142	1	0.08416667	HCWZBL	p1835
HM348732.1	651	107	2	1.229541	HCWZBL	p1835
HM348724.1	1051	81	2	0.012208657	HCWZBL	p1835
GQ229050.1	990	80	4	0.005952381	HCWZBL	p1835
KM026925.1	657	70	3	0.20710059	HCWZBL	p1835
KM026541.1	1460	1051	1459	148.15344	HCWZBL	p1835
MF161644.1	663	430	1368	370.71344	HCWZBL	p1835
KC579528.1	1015	363	13	4.2300577	HCWZBL	p1835
LC095877.1	1007	94	1	0.07234539	HCWZBL	p1835
EU200793.1	3280	440	10	0.27028754	HCWZBL	p1835
EU200794.1	2683	228	7	0.0986972	HCWZBL	p1835
EU200800.1	1029	598	463	39.37315	HCWZBL	p1835
EU200803.1	667	160	3	0.34816247	HCWZBL	p1835
KU363135.1	1059	153	13	0.8745875	HCWZBL	p1835
KU356637.1	1066	994	17704	2647.9617	HCWZBL	p1835
KU356638.1	751	731	44539	8664.912	HCWZBL	p1835
KU360853.1	653	51	1	0.031809144	HCWZBL	p1835
HM773643.1	528	263	166	32.66931	HCWZBL	p1835
KU360901.1	1253	105	1	0.07162285	HCWZBL	p1835
KU361035.1	739	448	166	24.505941	HCWZBL	p1835
KU243540.1	3123	1217	249	11.728221	HCWZBL	p1835
KU243548.1	3126	78	2	0.052419353	HCWZBL	p1835
KU243494.2	491	163	4	0.9824047	HCWZBL	p1835
KF541282.1	2667	364	6	0.69368297	HCWZBL	p1835
KF541286.1	978	140	1	0.117149755	HCWZBL	p1835
KJ411432.1	3302	178	2	0.41402283	HCWZBL	p1835
KJ411434.1	2591	397	12	0.5559197	HCWZBL	p1835
KJ411436.1	1578	281	2	0.13445379	HCWZBL	p1835
FJ947203.1	1037	123	4	0.05524239	HCWZBL	p1835
JX271002.1	2687	263	2	0.078044936	HCWZBL	p1835
JX271003.1	2591	268	6	0.1634576	HCWZBL	p1835
JX271007.1	1578	1370	619	63.64216	HCWZBL	p1835
JX271009.1	1074	142	2	0.064935066	HCWZBL	p1835
JX271006.1	1062	78	1	0.023026315	HCWZBL	p1835
JF896472.1	1059	461	318	70.9868	HCWZBL	p1835
KY972330.1	2442	54	1	0.010471204	HCWZBL	p1835
KU243572.1	2577	2186	2040	115.75196	HCWZBL	p1835
KU243597.1	2433	1892	1286	78.32896	HCWZBL	p1835
KU243641.1	1164	143	49	2.7051282	HCWZBL	p1835
KU243421.1	903	71	1	0.09428951	HCWZBL	p1835
KU243664.1	936	190	4	0.43638676	HCWZBL	p1835
KU243417.1	900	522	55	6.8226666	HCWZBL	p1835
AB077766.1	2359	545	44	1.9506564	HCWZBL	p1835
DQ146702.1	1356	1354	3644	407.82254	HCWZBL	p1835
DQ146704.1	1078	398	28	0.7198276	HCWZBL	p1835
KU714457.1	2591	1464	5608	235.01147	HCWZBL	p1835
KU714451.1	1058	973	618	87.636566	HCWZBL	p1835
MG181725.1	2359	2149	95743	5842.0435	HCWZBL	p1835
JX946168.1	3302	3276	9823	437.0885	HCWZBL	p1835
JX946170.1	2591	2461	5437	308.72592	HCWZBL	p1835
JX946174.1	1516	1346	2051	145.81332	HCWZBL	p1835
JX946176.1	1074	142	5	0.042207792	HCWZBL	p1835
JX946175.1	1059	1059	3600	512.5676	HCWZBL	p1835
JX946177.1	750	542	50	7.195	HCWZBL	p1835
MG181854.1	3303	3233	36762	1577.9283	HCWZBL	p1835
LC133563.1	1052	358	9	1.4966741	HCWZBL	p1835
LC061616.1	3201	220	2	0.16945264	HCWZBL	p1835
LC061628.1	1449	72	1	0.085450344	HCWZBL	p1835
HM773855.1	2685	285	5	0.38816568	HCWZBL	p1835
KC610700.1	3295	96	1	0.020031797	HCWZBL	p1835
KC610707.1	971	134	2	0.1181486	HCWZBL	p1835
KC687006.1	1367	685	40	3.4576828	HCWZBL	p1835
KC686919.1	1043	649	587	91.32699	HCWZBL	p1835
KC686949.1	930	570	350	57.846153	HCWZBL	p1835
KC686934.1	948	517	1427	228.23058	HCWZBL	p1835
JN258955.1	2518	386	10	1.9438344	HCWZBL	p1835
KP882635.1	528	90	1	0	HCWZBL	p1835
KU508380.1	3302	483	13	0.69321066	HCWZBL	p1835
KU508382.1	2590	187	48	3.7815573	HCWZBL	p1835
KU508377.1	1074	123	2	0.0021645022	HCWZBL	p1835
KU508385.1	1062	120	1	0.04495614	HCWZBL	p1835
EF554137.1	3302	791	104	4.260787	HCWZBL	p1835
EF554139.1	2591	539	44	1.4084392	HCWZBL	p1835
EF554143.1	1578	363	25	1.4768908	HCWZBL	p1835
JQ423907.1	1062	158	8	0.41885966	HCWZBL	p1835
HQ896712.1	2168	2161	11631	822.9272	HCWZBL	p1835
HQ896720.1	731	717	3594	787.88983	HCWZBL	p1835
JF796734.1	3302	398	15	1.9200507	HCWZBL	p1835
JF796736.1	2591	193	1	0.25727162	HCWZBL	p1835
JF796731.1	1076	267	9	0.30237582	HCWZBL	p1835
LC122624.1	3295	86	1	0.12527822	HCWZBL	p1835
LC122629.1	1330	131	7	0.0033898305	HCWZBL	p1835
LC122630.1	598	96	1	0.203125	HCWZBL	p1835
MF462322.1	2673	299	7	0.3131193	HCWZBL	p1835
MF462319.1	528	250	24	4.7063494	HCWZBL	p1835
AY740741.1	3302	348	8	0.2645939	HCWZBL	p1835
AY740736.1	1062	180	7	1.1359649	HCWZBL	p1835
HQ846844.1	2708	610	19	0.81313527	HCWZBL	p1835
HM627543.1	2687	217	4	0.33267638	HCWZBL	p1835
HM627544.1	2591	59	1	0.002458009	HCWZBL	p1835
GU565046.1	1062	79	5	0.04605263	HCWZBL	p1835
KC215507.1	543	316	293	67.07124	HCWZBL	p1835
KJ753404.1	2282	1448	38174	2486.9258	HCWZBL	p1835
AB908939.1	1062	62	6	0	HCWZBL	p1835
KX171542.1	2546	850	118	4.4820533	HCWZBL	p1835
JX307634.1	597	155	3	0.393736	HCWZBL	p1835
KJ753780.1	1320	809	72	6.84359	HCWZBL	p1835
KF041442.1	2717	116	1	0.031164784	HCWZBL	p1835
KF041434.1	1356	248	4	0.31426203	HCWZBL	p1835
KF041436.1	1059	227	419	41.69307	HCWZBL	p1835
KF041438.1	750	215	441	71.71167	HCWZBL	p1835
AY787653.1	3302	2102	5552	233.67163	HCWZBL	p1835
AY787654.1	2591	843	576	24.364195	HCWZBL	p1835
AY787648.1	1059	220	29	3.4873488	HCWZBL	p1835
FJ423142.1	1986	326	31	2.1699347	HCWZBL	p1835
KM026565.1	1460	855	182	16.361069	HCWZBL	p1835
KM026769.1	528	128	6	5.095238	HCWZBL	p1835
KM026599.1	1460	600	148	15.325954	HCWZBL	p1835
HM348741.1	855	182	64	3.0099292	HCWZBL	p1835
HM348745.1	1260	283	13	2.2846847	HCWZBL	p1835
HM348725.1	955	66	1	0.081987575	HCWZBL	p1835
HM348734.1	942	638	2546	449.32956	HCWZBL	p1835
HM348746.1	1226	1086	4663	536.10406	HCWZBL	p1835
HM348726.1	1051	493	220	24.102108	HCWZBL	p1835
KC442988.1	2333	2129	34447	2188.721	HCWZBL	p1835
KM026642.1	954	559	300	44.33582	HCWZBL	p1835
KM026971.1	681	623	98	19.026365	HCWZBL	p1835
LC119105.1	2683	538	33	1.1871299	HCWZBL	p1835
LC119106.1	2591	857	376	15.985252	HCWZBL	p1835
AB751557.1	2519	237	5	0.5677501	HCWZBL	p1835
AB753080.1	1426	960	43	6.5532913	HCWZBL	p1835
AB753500.1	954	624	1027	136.92537	HCWZBL	p1835
KR262149.1	3302	143	4	0.09422589	HCWZBL	p1835
KR262153.1	1578	1535	9050	889.7836	HCWZBL	p1835
KR262154.1	1356	175	15	3.942786	HCWZBL	p1835
MF184783.1	1014	1005	40088	5295.4805	HCWZBL	p1835
KU199279.1	751	139	2	0.13144758	HCWZBL	p1835
FJ425165.1	327	203	4	1.3107345	HCWZBL	p1835
FJ425181.1	379	349	22849	9790.664	HCWZBL	p1835
KF360220.1	997	347	6	0.65997636	HCWZBL	p1835
KU361061.1	664	164	3	0.42607003	HCWZBL	p1835
KU360993.1	1000	212	2	0.32470587	HCWZBL	p1835
KU243463.1	531	502	4196	1342.811	HCWZBL	p1835
KX257411.1	618	105	1	0.38675213	HCWZBL	p1835
MG181659.1	2359	2029	84008	5204.137	HCWZBL	p1835
LC133515.1	2683	334	7	0.3801816	HCWZBL	p1835
LC328267.1	667	406	698	163.19342	HCWZBL	p1835
FJ947353.1	2542	711	13	1.0589465	HCWZBL	p1835
LC133538.1	2585	323	16	0.7080082	HCWZBL	p1835
LC133544.1	1074	205	3	0.10497835	HCWZBL	p1835
FJ947433.1	1325	773	17	1.7242553	HCWZBL	p1835
KJ412565.1	2683	72	1	0.028424792	HCWZBL	p1835
KJ412566.1	2530	201	5	0.18655463	HCWZBL	p1835
KJ412568.1	1320	694	17	2.7752137	HCWZBL	p1835
KJ412560.1	1003	136	68	3.2309496	HCWZBL	p1835
KJ412562.1	701	290	9	1.0344827	HCWZBL	p1835
KJ412563.1	631	228	27	6.8336797	HCWZBL	p1835
KC610691.1	2531	186	3	0.07139857	HCWZBL	p1835
KC610696.1	977	53	1	0	HCWZBL	p1835
LC169856.1	1356	756	13856	1422.5564	HCWZBL	p1835
KF726073.1	1059	438	20	1.5346534	HCWZBL	p1835
KJ748483.1	1058	761	1777	157.1773	HCWZBL	p1835
EF990712.1	750	676	646	126.70167	HCWZBL	p1835
EF554112.1	1075	128	2	0.0032432433	HCWZBL	p1835
KC174907.1	1053	364	14	0.5780731	HCWZBL	p1835
GU296426.1	2359	1798	593	34.725216	HCWZBL	p1835
AB924084.1	3302	93	1	0	HCWZBL	p1835
AB924086.1	2591	210	3	0.13928717	HCWZBL	p1835
AB924088.1	1356	56	1	0.046434496	HCWZBL	p1835
AB924092.1	1072	230	11	0.14859003	HCWZBL	p1835
AB924091.1	1040	115	2	0.05955056	HCWZBL	p1835
AB924093.1	748	297	10	0.8043478	HCWZBL	p1835
AB924094.1	952	386	25	3.6745636	HCWZBL	p1835
JF796713.1	2716	123	2	0.11340608	HCWZBL	p1835
GQ479955.1	1062	71	4	0	HCWZBL	p1835
LC122593.1	2736	70	1	0.027068833	HCWZBL	p1835
LC122594.1	2166	70	1	0.034722224	HCWZBL	p1835
LC122596.1	1037	76	2	0.03382187	HCWZBL	p1835
LC122598.1	613	151	14	2.7969763	HCWZBL	p1835
LC122619.1	613	139	10	2.1058316	HCWZBL	p1835
JF712575.1	753	177	44	5.5240464	HCWZBL	p1835
KU956006.1	3302	1607	218	9.810279	HCWZBL	p1835
KU956008.1	2591	137	4	0.16632527	HCWZBL	p1835
KU956010.1	1579	1175	254	23.236528	HCWZBL	p1835
KU956011.1	1356	1333	1947	186.53731	HCWZBL	p1835
KU956014.1	1062	287	7	0.94298244	HCWZBL	p1835
KU956015.1	751	273	74	16.046589	HCWZBL	p1835
JF712560.1	1062	78	4	0.025219299	HCWZBL	p1835
JF781158.1	3302	347	9	1.0970812	HCWZBL	p1835
JF781159.1	2717	281	4	0.16400467	HCWZBL	p1835
JF781160.1	2591	157	1	0.09176567	HCWZBL	p1835
JF781166.1	1051	126	12	0.35627082	HCWZBL	p1835
JF781165.1	1059	248	149	9.823982	HCWZBL	p1835
JF781163.1	1061	70	5	0	HCWZBL	p1835
HQ661131.1	1068	938	156	21.543573	HCWZBL	p1835
JN831229.1	751	209	96	8.797005	HCWZBL	p1835
KJ482429.1	1806	78	4	0.18478261	HCWZBL	p1835
KJ482455.1	1077	117	6	0.6440129	HCWZBL	p1835
LC158118.1	1319	84	2	1.5252353	HCWZBL	p1835
LC158124.1	1032	125	8	0.06575964	HCWZBL	p1835
JF304929.1	2359	364	9	0.92756903	HCWZBL	p1835
JF304932.1	1566	1226	40	6.2231636	HCWZBL	p1835
JF304935.1	751	328	19	7.02995	HCWZBL	p1835
KR632623.1	3303	99	4	0.49603552	HCWZBL	p1835
KR632622.1	1356	112	1	0.07545605	HCWZBL	p1835
KR632627.1	1059	97	2	0.027502751	HCWZBL	p1835
JX040432.1	856	112	15	1.7521247	HCWZBL	p1835
DQ205221.1	3302	338	22	2.6817894	HCWZBL	p1835
DQ205222.1	2687	264	7	0.26882145	HCWZBL	p1835
DQ205231.1	667	164	2	0.4235977	HCWZBL	p1835
JF766597.1	1084	181	3	0.127409	HCWZBL	p1835
AB573071.1	2643	888	91	4.8848777	HCWZBL	p1835
KM454503.1	3302	233	12	0.36294416	HCWZBL	p1835
KM454507.1	1362	110	2	0.047854785	HCWZBL	p1835
KM454508.1	1062	95	1	0.06798246	HCWZBL	p1835
KM454497.1	1059	397	22	3.1683168	HCWZBL	p1835
KC815658.1	3302	750	64	2.5396574	HCWZBL	p1835
JX307625.1	1054	967	16542	2605.1062	HCWZBL	p1835
KX171543.1	2546	1215	61	3.6427379	HCWZBL	p1835
KP198641.1	2507	973	733	39.241833	HCWZBL	p1835
KP007164.1	2589	1217	504	23.97827	HCWZBL	p1835
LC086766.1	1075	1070	9648	1558.6432	HCWZBL	p1835
JF421976.1	2687	189	2	0.08868743	HCWZBL	p1835
LC095963.1	704	156	29	4.2563176	HCWZBL	p1835
HG513046.1	2716	223	2	0.064302415	HCWZBL	p1835
AB741649.1	3302	177	1	0.043147206	HCWZBL	p1835
AB741651.1	2591	117	1	0.0016386727	HCWZBL	p1835
AB741656.1	1059	145	2	0.0770077	HCWZBL	p1835
HM348735.1	649	103	1	0.11422846	HCWZBL	p1835
HM348727.1	1050	561	567	81.17333	HCWZBL	p1835
EU753970.1	1056	273	13	1.4690949	HCWZBL	p1835
EU753967.1	636	450	1311	359.43005	HCWZBL	p1835
KM026874.1	814	398	10	2.061747	HCWZBL	p1835
KT694975.1	2362	776	10	1.6781193	HCWZBL	p1835
KF035107.1	3267	117	2	0.055502087	HCWZBL	p1835
KF035108.1	2673	195	2	0.14149822	HCWZBL	p1835
KF035109.1	2508	169	5	0.26420695	HCWZBL	p1835
KF035111.1	1194	65	2	0.11015326	HCWZBL	p1835
KF035104.1	933	62	1	0.07918263	HCWZBL	p1835
KF500521.1	2591	112	2	0.007783695	HCWZBL	p1835
