accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain
KP692116.1	7344	Human papillomavirus type 202 isolate HPV202, complete genome	1682341	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 11	Human papillomavirus 202	Human papillomavirus 202
KP692117.1	7320	UNVERIFIED: Human papillomavirus isolate SE379, complete genome	10566	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	unclassified Papillomaviridae genus	Human papillomavirus	unclassified Human papillomavirus subspecies/strain	unclassified Human papillomavirus strain
KP696513.1	1154	Bluetongue virus 1 isolate BTV-1/IND1985/01 segment 7 immunodominant major serogroup specific antigen (VP7) gene, complete cds	35327	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 1	Bluetongue virus 1
KP696696.1	1154	Bluetongue virus 23 isolate BTV-23/IND2004/09 segment 7 immunodominant major serogroup specific antigen (VP7) gene, complete cds	45031	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 23	Bluetongue virus 23
KP710598.1	9256	GB virus C isolate 263-26, complete genome	54290	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pegivirus	Pegivirus C	GB virus C	GB virus C
KP714074.1	9786	La Jolla virus putative polyprotein gene, complete cds	1654357	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified Iflaviridae genus	La Jolla virus	unclassified La Jolla virus subspecies/strain	unclassified La Jolla virus strain
KP718925.1	9034	HIV-1 isolate 789-10 from Cameroon, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
KP718928.1	9166	HIV-1 isolate 886-24 from Cameroon, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
KP718930.1	8855	HIV-1 isolate 1156-26 from Cameroon, complete genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
KP729195.1	5027	Lagomorph bocaparvovirus 1 strain LBoV 160/01/ITA, complete genome	2169774	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Lagomorph bocaparvovirus 1	unclassified Lagomorph bocaparvovirus 1 subspecies/strain	unclassified Lagomorph bocaparvovirus 1 strain
KP732579.1	2280	Influenza A virus (A/duck/Eastern China/S0131/2014(H5N2)) segment 1 polymerase PB2 (PB2) gene, complete cds	1608677	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Eastern China/S0131/2014(H5N2))	Influenza A virus (A/duck/Eastern China/S0131/2014(H5N2))
KP732678.1	1410	Influenza A virus (A/duck/Eastern China/S0131/2014(H5N2)) segment 6 neuraminidase (NA) gene, complete cds	1608677	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Eastern China/S0131/2014(H5N2))	Influenza A virus (A/duck/Eastern China/S0131/2014(H5N2))
KP732719.1	838	Influenza A virus (A/duck/Eastern China/S0131/2014(H5N2)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	1608677	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Eastern China/S0131/2014(H5N2))	Influenza A virus (A/duck/Eastern China/S0131/2014(H5N2))
KP733794.1	4590	Bearded dragon parvovirus strain 2014, complete genome	1670662	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Squamate dependoparvovirus 2	Bearded dragon parvovirus	Bearded dragon parvovirus
KP752872.1	1531	Rotavirus A strain RVA/Cow-wt/ZAF/MRC-DPRU456/2009/G6P[11] segment 5 non-structural protein 1 (NSP1) gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain
KP752880.1	2321	Rotavirus A strain RVA/Cow-wt/ZAF/MRC-DPRU456/2009/G6P[11] segment 4 putative outer capsid spike protein VP4 (VP4) gene, partial cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain
KP757765.1	7773	Rusa timorensis papillomavirus type 1 isolate IZW 39/08, complete genome	1776868	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Treisthetapapillomavirus	Treisthetapapillomavirus 1	Rusa timorensis papillomavirus type 1	Rusa timorensis papillomavirus type 1
KP768176.1	6219	Trematomus polyomavirus 1 isolate PES6, complete genome	2170103	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Thetapolyomavirus	Thetapolyomavirus trepennellii	unclassified Thetapolyomavirus trepennellii subspecies/strain	unclassified Thetapolyomavirus trepennellii strain
KP769769.1	7227	Human papillomavirus type 204 isolate A342, complete genome	1650736	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Mupapillomavirus	Mupapillomavirus 3	Human papillomavirus 204	Human papillomavirus 204
KP771821.1	6444	Dashli virus strain 131 segment L, complete sequence	1764087	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Dashli phlebovirus	Dashli virus	Dashli virus
KP771822.1	4413	Dashli virus strain 131 segment M, complete sequence	1764087	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Dashli phlebovirus	Dashli virus	Dashli virus
KP771823.1	1802	Dashli virus strain 131 segment S, complete sequence	1764087	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Dashli phlebovirus	Dashli virus	Dashli virus
KP784692.1	7569	Norovirus GII/Hu/ZAF/2011/GII.P4_GII.4/Johannesburg/7028, complete genome	1777884	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII/Hu/ZAF/2011/GII.P4_GII.4/Johannesburg/7028	Norovirus GII/Hu/ZAF/2011/GII.P4_GII.4/Johannesburg/7028
KP784694.1	7570	Norovirus GII/Hu/ZAF/2012/GII.P4_GII.4/Empangeni/8604, complete genome	1777887	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII/Hu/ZAF/2012/GII.P4_GII.4/Empangeni/8604	Norovirus GII/Hu/ZAF/2012/GII.P4_GII.4/Empangeni/8604
KP784695.1	7570	Norovirus GII/Hu/ZAF/2012/GII.P4_GII.4/Empangeni/9693, complete genome	1777888	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII/Hu/ZAF/2012/GII.P4_GII.4/Empangeni/9693	Norovirus GII/Hu/ZAF/2012/GII.P4_GII.4/Empangeni/9693
KP792297.1	2341	Influenza A virus (A/Taiwan/DV413/2006(H5N2)) segment 1 polymerase PB2 (PB2) gene, complete cds	1616664	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Taiwan/DV413/2006(H5N2))	Influenza A virus (A/duck/Taiwan/DV413/2006(H5N2))
KP792300.1	1747	Influenza A virus (A/Taiwan/DV413/2006(H5N2)) segment 4 hemagglutinin (HA) gene, complete cds	1616664	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Taiwan/DV413/2006(H5N2))	Influenza A virus (A/duck/Taiwan/DV413/2006(H5N2))
KP792303.1	992	Influenza A virus (A/Taiwan/DV413/2006(H5N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds	1616664	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Taiwan/DV413/2006(H5N2))	Influenza A virus (A/duck/Taiwan/DV413/2006(H5N2))
KP792652.1	882	Bahig virus strain EgB 90 nucleocapsid protein gene, complete cds	1622279	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Tete orthobunyavirus	Bahig virus	Bahig virus
KP792653.1	4388	Bahig virus strain EgB 90 polyprotein gene, complete cds	1622279	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Tete orthobunyavirus	Bahig virus	Bahig virus
KP792654.1	6959	Bahig virus strain EgB 90 RNA-dependent RNA polymerase gene, complete cds	1622279	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Tete orthobunyavirus	Bahig virus	Bahig virus
KP792655.1	849	Bimiti virus strain TRVL 8362 nucleocapsid protein gene, complete cds	1678224	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Bimiti orthobunyavirus	Bimiti virus	Bimiti virus
KP792656.1	4423	Bimiti virus strain TRVL 8362 polyprotein gene, complete cds	1678224	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Bimiti orthobunyavirus	Bimiti virus	Bimiti virus
KP792657.1	6830	Bimiti virus strain TRVL 8362 RNA-dependent RNA polymerase gene, complete cds	1678224	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Bimiti orthobunyavirus	Bimiti virus	Bimiti virus
KP792659.1	4420	Catu virus strain BeH 151 polyprotein gene, complete cds	1678225	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Catu orthobunyavirus	Catu virus	Catu virus
KP792660.1	6797	Catu virus strain BeH 151 RNA-dependent RNA polymerase gene, complete cds	1678225	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Catu orthobunyavirus	Catu virus	Catu virus
KP792661.1	831	Guajara orthobunyavirus strain BeAn 10615 nucleocapsid protein gene, complete cds	1933272	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Guajara orthobunyavirus	unclassified Guajara orthobunyavirus subspecies/strain	unclassified Guajara orthobunyavirus strain
KP792662.1	4411	Guajara orthobunyavirus strain BeAn 10615 polyprotein gene, complete cds	1933272	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Guajara orthobunyavirus	unclassified Guajara orthobunyavirus subspecies/strain	unclassified Guajara orthobunyavirus strain
KP792663.1	6853	Guajara orthobunyavirus strain BeAn 10615 RNA-dependent RNA polymerase gene, complete cds	1933272	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Guajara orthobunyavirus	unclassified Guajara orthobunyavirus subspecies/strain	unclassified Guajara orthobunyavirus strain
KP792664.1	850	Guama virus strain BeAn 277 nucleocapsid protein gene, complete cds	1678234	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Guama orthobunyavirus	Guama virus	Guama virus
KP792665.1	4412	Guama virus strain BeAn 277 polyprotein gene, complete cds	1678234	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Guama orthobunyavirus	Guama virus	Guama virus
KP792666.1	6861	Guama virus strain BeAn 277 RNA-dependent RNA polymerase gene, complete cds	1678234	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Guama orthobunyavirus	Guama virus	Guama virus
KP792667.1	882	Koongol virus strain MRM31 nucleocapsid protein gene, complete cds	35314	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Koongol orthobunyavirus	Koongol virus	Koongol virus
KP792668.1	3415	Koongol virus strain MRM31 polyprotein gene, complete cds	35314	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Koongol orthobunyavirus	Koongol virus	Koongol virus
KP792669.1	6905	Koongol virus strain MRM31 RNA-dependent RNA polymerase gene, complete cds	35314	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Koongol orthobunyavirus	Koongol virus	Koongol virus
KP792670.1	850	Lukuni virus strain TRVL 10076 nucleocapsid protein gene, complete cds	1678227	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Anopheles A orthobunyavirus	Lukuni virus	Lukuni virus
KP792671.1	4324	Lukuni virus strain TRVL 10076 polyprotein gene, complete cds	1678227	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Anopheles A orthobunyavirus	Lukuni virus	Lukuni virus
KP792672.1	6793	Lukuni virus strain TRVL 10076 RNA-dependent RNA polymerase gene, complete cds	1678227	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Anopheles A orthobunyavirus	Lukuni virus	Lukuni virus
KP792673.1	854	Moju virus strain BeAr 12590 nucleocapsid protein gene, complete cds	1678228	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Moju orthobunyavirus	Moju virus	Moju virus
KP792674.1	4420	Moju virus strain BeAr 12590 polyprotein gene, complete cds	1678228	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Moju orthobunyavirus	Moju virus	Moju virus
KP792675.1	6864	Moju virus strain BeAr 12590 RNA-dependent RNA polymerase gene, complete cds	1678228	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Moju orthobunyavirus	Moju virus	Moju virus
KP792679.1	976	Tete virus strain SAAn 3518 nucleocapsid protein gene, complete cds	35319	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Tete orthobunyavirus	unclassified Tete orthobunyavirus subspecies/strain	unclassified Tete orthobunyavirus strain
KP792685.2	845	Umbre virus strain IG1424 nucleocapsid protein and NSs protein genes, complete cds	552554	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Turlock orthobunyavirus	Umbre virus	Umbre virus
KP792686.1	4448	Umbre virus strain IG1424 polyprotein gene, complete cds	552554	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Turlock orthobunyavirus	Umbre virus	Umbre virus
KP792687.1	6924	Umbre virus strain IG1424 RNA-dependent RNA polymerase gene, partial cds	552554	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Turlock orthobunyavirus	Umbre virus	Umbre virus
KP792692.1	4374	Matruh virus strain An 1047-61 polyprotein gene, complete cds	1678229	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Matruh orthobunyavirus	Matruh virus	Matruh virus
KP792693.1	6949	Matruh virus strain An 1047-61 RNA-dependent RNA polymerase gene, complete cds	1678229	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Matruh orthobunyavirus	Matruh virus	Matruh virus
KP792706.1	4032	Burana virus strain 760 segment M glycoprotein precursor, gene, partial cds	1453404	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Burana orthonairovirus	Burana virus	Burana virus
KP792707.1	1479	Burana virus strain 760 segment S nucleocapsid protein gene, partial cds	1453404	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Burana orthonairovirus	Burana virus	Burana virus
KP792709.1	4128	Caspiy virus strain LEIV-63Az segment M glycoprotein precursor, gene, partial cds	1453405	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Hughes orthonairovirus	Caspiy virus	Caspiy virus
KP792710.1	1491	Caspiy virus strain LEIV-63Az segment S nucleocapsid protein gene, partial cds	1453405	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Hughes orthonairovirus	Caspiy virus	Caspiy virus
KP792712.1	4995	Chim virus strain LEIV-858Uz segment M glycoprotein precursor, gene, partial cds	2170062	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Chim orthonairovirus	unclassified Chim orthonairovirus subspecies/strain	unclassified Chim orthonairovirus strain
KP792713.1	1485	Chim virus strain LEIV-858Uz segment S nucleocapsid protein gene, partial cds	2170062	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Chim orthonairovirus	unclassified Chim orthonairovirus subspecies/strain	unclassified Chim orthonairovirus strain
KP792715.1	4629	Geran virus strain LEIV-10899Az segment M glycoprotein precursor, gene, partial cds	1453407	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Qalyub orthonairovirus	Geran virus	Geran virus
KP792716.1	1509	Geran virus strain LEIV-10899Az segment S nucleocapsid protein gene, partial cds	1453407	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Qalyub orthonairovirus	Geran virus	Geran virus
KP792741.1	11964	Uzun Agach virus strain LEIV-Kaz155 segment L RNA-dependent RNA-polymerase gene, partial cds	2848328	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Keterah orthonairovirus	Uzun-Agach virus	Uzun-Agach virus
KP792742.1	4932	Uzun Agach virus strain LEIV-Kaz155 segment M glycoprotein precursor, gene, partial cds	2848328	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Keterah orthonairovirus	Uzun-Agach virus	Uzun-Agach virus
KP792744.1	11853	Artashat virus strain LEIV-10898Az segment L RNA-dependent RNA-polymerase gene, partial cds	2170061	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Artashat orthonairovirus	unclassified Artashat orthonairovirus subspecies/strain	unclassified Artashat orthonairovirus strain
KP792745.1	4158	Artashat virus strain LEIV-10898Az segment M glycoprotein precursor, gene, partial cds	2170061	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Artashat orthonairovirus	unclassified Artashat orthonairovirus subspecies/strain	unclassified Artashat orthonairovirus strain
KP792746.1	1443	Artashat virus strain LEIV-10898Az segment S nucleocapsid protein gene, partial cds	2170061	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Artashat orthonairovirus	unclassified Artashat orthonairovirus subspecies/strain	unclassified Artashat orthonairovirus strain
KP793687.1	7507	Enterovirus C isolate Brunenders, complete genome	138950	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus C	unclassified Enterovirus C subspecies/strain	unclassified Enterovirus C strain
KP793918.1	1982	Zebra finch circovirus isolate 8454V25-1, complete genome	1642515	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Zebra finch circovirus	unclassified Zebra finch circovirus subspecies/strain	unclassified Zebra finch circovirus strain
KP795072.1	6843	Oropouche virus strain TVP-19244/DEI-216 RNA polymerase gene, complete cds	118655	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Oropouche orthobunyavirus	Oropouche virus	Oropouche virus
KP835518.1	871	Mahogany hammock virus strain FE4-2s segment S nucleocapsid protein gene, complete cds	1763623	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Mahogany Hammock orthobunyavirus	Mahogany hammock virus	Mahogany hammock virus
KP835519.1	4422	Mahogany hammock virus strain FE4-2s segment M polyprotein gene, complete cds	1763623	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Mahogany Hammock orthobunyavirus	Mahogany hammock virus	Mahogany hammock virus
KP835520.1	6871	Mahogany hammock virus strain FE4-2s segment L RNA-dependent RNA polymerase gene, complete cds	1763623	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Mahogany Hammock orthobunyavirus	Mahogany hammock virus	Mahogany hammock virus
KP849472.1	30004	Alphacoronavirus 1 strain 23/03, complete genome	693997	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Alphacoronavirus 1	unclassified Alphacoronavirus 1 subspecies/strain	unclassified Alphacoronavirus 1 strain
KP861923.1	9915	Simian immunodeficiency virus isolate LB715, complete genome	11723	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Simian immunodeficiency virus	unclassified Simian immunodeficiency virus subspecies/strain	unclassified Simian immunodeficiency virus strain
KP861980.1	7722	Alouatta guariba papillomavirus 1 isolate AgPV1_PPV03_SP, complete genome	1784959	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyoomikronpapillomavirus	Dyoomikronpapillomavirus 1	Alouatta guariba papillomavirus 1	Alouatta guariba papillomavirus 1
KP863799.1	6391	Arrabida virus strain PoSFPhlebV/126/2008 segment L, complete sequence	1457322	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Arrabida virus	unclassified Arrabida virus subspecies/strain	unclassified Arrabida virus strain
KP863800.1	4198	Arrabida virus strain PoSFPhlebV/126/2008 segment M, complete sequence	1457322	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Arrabida virus	unclassified Arrabida virus subspecies/strain	unclassified Arrabida virus strain
KP863801.1	1840	Arrabida virus strain PoSFPhlebV/126/2008 segment S, complete sequence	1457322	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Arrabida virus	unclassified Arrabida virus subspecies/strain	unclassified Arrabida virus strain
KP866792.1	9617	Graminella nigrifrons virus 1 isolate Ohio, complete genome	1629132	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	unclassified Iflaviridae genus	Graminella nigrifrons virus 1	unclassified Graminella nigrifrons virus 1 subspecies/strain	unclassified Graminella nigrifrons virus 1 strain
KP879216.1	7487	Hepatitis A virus isolate 18f, complete genome	12092	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Hepatovirus	Hepatovirus A	unclassified Hepatovirus A subspecies/strain	unclassified Hepatovirus A strain
KP882187.1	2316	Rotavirus A strain RVA/Human-wt/BGD/Bang-114/2008/G2P[4] segment 4 VP4 (VP4) gene, partial cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain
KP882475.1	3249	Rotavirus A strain RVA/Human-wt/GHA/Ghan-059/2008/G8P[1] segment 1 VP1 (VP1) gene, partial cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain
KP882476.1	2631	Rotavirus A strain RVA/Human-wt/GHA/Ghan-059/2008/G8P[1] segment 2 VP2 (VP2) gene, partial cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain
KP882477.1	2508	Rotavirus A strain RVA/Human-wt/GHA/Ghan-059/2008/G8P[1] segment 3 VP3 (VP3) gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain
KP882480.1	933	Rotavirus A strain RVA/Human-wt/GHA/Ghan-059/2008/G8P[1] segment 8 NSP3 (NSP3) gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain
KP882635.1	528	Rotavirus A strain RVA/Human-wt/GHA/Ghan-113/2008/G8P[6] segment 10 NSP4 (NSP4) gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain
KP886808.1	29723	Bat SARS-like coronavirus YNLF_31C, complete genome	1699360	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	Bat SARS-like coronavirus YNLF_31C	Bat SARS-like coronavirus YNLF_31C
KP887098.1	31409	UNVERIFIED: Murine coronavirus strain AM2, complete genome	694005	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Murine coronavirus	unclassified Murine coronavirus subspecies/strain	unclassified Murine coronavirus strain
KP890267.1	5132	Sheep polyomavirus 1 isolate VH4-S14 from USA, complete genome	1634381	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	unclassified Polyomaviridae genus	Sheep polyomavirus 1	unclassified Sheep polyomavirus 1 subspecies/strain	unclassified Sheep polyomavirus 1 strain
KP890355.1	9480	HIV-2 isolate NWK08 from USA, complete genome	11709	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 2	unclassified Human immunodeficiency virus 2 subspecies/strain	unclassified Human immunodeficiency virus 2 strain
KP890662.1	7073	Rhinovirus C isolate 7383-MY-10, complete genome	463676	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus C	unclassified Rhinovirus C subspecies/strain	unclassified Rhinovirus C strain
KP896499.1	1728	Influenza A virus (A/harlequin duck/Alaska/250/2014(H10N7)) segment 4 hemagglutinin (HA) gene, complete cds	1628808	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/harlequin duck/Alaska/250/2014(H10N7))	Influenza A virus (A/harlequin duck/Alaska/250/2014(H10N7))
KP896500.1	1565	Influenza A virus (A/harlequin duck/Alaska/250/2014(H10N7)) segment 5 nucleocapsid protein (NP) gene, complete cds	1628808	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/harlequin duck/Alaska/250/2014(H10N7))	Influenza A virus (A/harlequin duck/Alaska/250/2014(H10N7))
